Ride,Event,Rider ID,Horse ID,Placing,Time,Weight (lbs),Miles,Points,BC?,BC Points,BC Score,Pull,Pull Reason,Comments
1998 Balance Forward,,1299,1,,,,25,,FALSE,,,FALSE,,
1998 Balance Forward,,1300,1,,,,95,,FALSE,,,FALSE,,
1998 Balance Forward,,1301,1,,,,130,,FALSE,,,FALSE,,
1998 Balance Forward,,1302,1,,,,50,,FALSE,,,FALSE,,
1998 Balance Forward,,1303,1,,,,60,,FALSE,,,FALSE,,
1998 Balance Forward,,1304,1,,,,60,,FALSE,,,FALSE,,
1998 Balance Forward,,1305,1,,,,120,,FALSE,,,FALSE,,
1998 Balance Forward,,1306,1,,,,120,,FALSE,,,FALSE,,
1998 Balance Forward,,1307,1,,,,90,,FALSE,,,FALSE,,
1998 Balance Forward,,1308,1,,,,120,,FALSE,,,FALSE,,
1998 Balance Forward,,1309,1,,,,90,,FALSE,,,FALSE,,
1998 Balance Forward,,1312,1,,,,25,,FALSE,,,FALSE,,
1998 Balance Forward,,1314,1,,,,145,,FALSE,,,FALSE,,
1998 Balance Forward,,1316,1,,,,25,,FALSE,,,FALSE,,
1998 Balance Forward,,1317,1,,,,95,,FALSE,,,FALSE,,
1998 Balance Forward,,1318,1,,,,25,,FALSE,,,FALSE,,
1998 Balance Forward,,1319,1,,,,25,,FALSE,,,FALSE,,
1998 Balance Forward,,1320,1,,,,60,,FALSE,,,FALSE,,
1998 Balance Forward,,1321,1,,,,75,,FALSE,,,FALSE,,
1998 Balance Forward,,1322,1,,,,80,,FALSE,,,FALSE,,
1998 Balance Forward,,1323,1,,,,80,,FALSE,,,FALSE,,
1998 Balance Forward,,1324,1,,,,30,,FALSE,,,FALSE,,
1998 Balance Forward,,1325,1,,,,80,,FALSE,,,FALSE,,
1998 Balance Forward,,1326,1,,,,65,,FALSE,,,FALSE,,
1998 Balance Forward,,1327,1,,,,30,,FALSE,,,FALSE,,
1998 Balance Forward,,1328,1,,,,65,,FALSE,,,FALSE,,
1998 Balance Forward,,1330,1,,,,145,,FALSE,,,FALSE,,
1998 Balance Forward,,1332,1,,,,55,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2019,,,,1430,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2020,,,,355,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2028,,,,1011,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2031,,,,2330,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2036,,,,3135,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2039,,,,1009,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2052,,,,2912,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2064,,,,1844,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2066,,,,50,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2077,,,,1650,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2100,,,,1210,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2105,,,,610,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2107,,,,2725,,FALSE,,,FALSE,,
